[user33@node1 job3]$ cat 20M_output/part-00000 | column -ts $'\t'
['2016:+1%', '2017:-1%', '2018:+3%']  COMSTOCK RESOURCES, INC.                     KAYNE ANDERSON ENERGY DEVELOPMENT COMPANY
['2018:+3%']                          XSPAND PRODUCTS LAB, INC.                    ZSCALER, INC.
['2018:-3%']                          HOMOLOGY MEDICINES, INC.                     JERASH HOLDINGS (US), INC.
['2018:-3%']                          BRIGHTSPHERE INVESTMENT GROUP PLC            KEY TRONIC CORPORATION
['2018:-3%']                          KEY TRONIC CORPORATION                       NEBULA ACQUISITION CORPORATION
['2018:+4%']                          CONSTRUCTION PARTNERS, INC.                  OP BANCORP
['2018:+4%']                          ARGO GROUP INTERNATIONAL HOLDINGS, LTD.      COLONY NORTHSTAR CREDIT REAL ESTATE, INC.
['2018:-5%']                          FARMMI, INC.                                 MTECH ACQUISITION CORP.
['2018:-5%']                          FARMMI, INC.                                 NINE ENERGY SERVICE, INC.
['2018:-5%']                          MTECH ACQUISITION CORP.                      NINE ENERGY SERVICE, INC.
['2018:-5%']                          CHINA NEW BORUN CORPORATION                  GRAFTECH INTERNATIONAL LTD.
['2018:-6%']                          FIRST CHOICE BANCORP                         MENLO THERAPEUTICS INC.
['2018:-6%']                          FIRST CHOICE BANCORP                         NATIONAL RESEARCH CORPORATION
['2018:-6%']                          MUDRICK CAPITAL ACQUISITION CORPORATION      PACER MILITARY TIMES BEST EMPLOYERS ETF
['2018:-6%']                          ONE MADISON CORPORATION                      PACER MILITARY TIMES BEST EMPLOYERS ETF
['2018:-7%']                          INSPIRE MEDICAL SYSTEMS, INC.                QUINTANA ENERGY SERVICES INC.
['2018:-7%']                          BIOXCEL THERAPEUTICS, INC.                   FTS INTERNATIONAL, INC.
['2018:-8%']                          DFB HEALTHCARE ACQUISITIONS CORP.            LOOP INDUSTRIES, INC.
['2018:-8%']                          DFB HEALTHCARE ACQUISITIONS CORP.            ONESMART INTERNATIONAL EDUCATION GROUP LIMITED
['2018:-8%']                          LOOP INDUSTRIES, INC.                        ONESMART INTERNATIONAL EDUCATION GROUP LIMITED
['2018:-8%']                          CM FINANCE INC                               LEVEL ONE BANCORP, INC.
['2018:-8%']                          CM FINANCE INC                               SOL-GEL TECHNOLOGIES LTD.
['2018:-8%']                          LEVEL ONE BANCORP, INC.                      SOL-GEL TECHNOLOGIES LTD.
['2018:-8%']                          ATLANTICUS HOLDINGS CORPORATION              CENTRAL PUERTO S.A.
['2018:-8%']                          CENTRAL PUERTO S.A.                          REGALWOOD GLOBAL ENERGY LTD.
['2018:-8%']                          OXFORD SQUARE CAPITAL CORP.                  PURE ACQUISITION CORP.
['2018:-8%']                          OXFORD SQUARE CAPITAL CORP.                  SENMIAO TECHNOLOGY LIMITED
['2018:-9%']                          COLLPLANT HOLDINGS, LTD.                     COMMUNICATIONS SYSTEMS, INC.
['2018:-9%']                          COLLPLANT HOLDINGS, LTD.                     LIBERTY OILFIELD SERVICES INC.
['2018:-9%']                          COMMUNICATIONS SYSTEMS, INC.                 LIBERTY OILFIELD SERVICES INC.
['2018:-9%']                          COMMUNICATIONS SYSTEMS, INC.                 SENSUS HEALTHCARE, INC.
['2018:-9%']                          LIBERTY OILFIELD SERVICES INC.               SENSUS HEALTHCARE, INC.
['2018:-9%']                          CIM COMMERCIAL TRUST CORPORATION             GENPREX, INC.
['2018:-9%']                          CIM COMMERCIAL TRUST CORPORATION             MOGO FINANCE TECHNOLOGY INC.
['2018:-9%']                          CIM COMMERCIAL TRUST CORPORATION             TORM PLC
['2018:-9%']                          GENPREX, INC.                                MOGO FINANCE TECHNOLOGY INC.
['2018:-9%']                          GENPREX, INC.                                TORM PLC
['2018:-9%']                          MOGO FINANCE TECHNOLOGY INC.                 TORM PLC
['2018:-9%']                          THE VIVALDI OPPORTUNITIES FUND               TIBERIUS ACQUISITION CORPORATION
['2018:-9%']                          FLUENT, INC.                                 MOTUS GI HOLDINGS, INC.
['2018:-9%']                          FLUENT, INC.                                 NAVIOS MARITIME ACQUISITION CORPORATION
['2018:-9%']                          FLUENT, INC.                                 SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP.
['2018:-9%']                          MOTUS GI HOLDINGS, INC.                      NAVIOS MARITIME ACQUISITION CORPORATION
['2018:-9%']                          MOTUS GI HOLDINGS, INC.                      SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP.
['2018:-9%']                          NAVIOS MARITIME ACQUISITION CORPORATION      SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP.
['2018:-9%']                          CBX (LISTING MARKET NYSE NETWORKS AE         IPIC ENTERTAINMENT INC.
['2018:-9%']                          LINK MOTION INC.                             SSLJ.COM LIMITED
